index,source,entropy_avail,gen_time_ms,modulus_hex,publickey_sha256
11,baseline,256,173,960F4015AD6518D2CD3CC7A537EAFAE5146EBB19A1CF19B25DB46B5F09460C3F00BD0993B20F12E1E7B6D519AE4D36FA6C8341512F58CEEC10BED611C4A68F67252480479F866080C9C45754FF353CA318BC8C49BD63269667435037FB05EDDEA93101760BF676473B2B157FADA24CA22610E1A749B7EAB0A06AD48D5A163014A15AA4EFD4D55F1FFAF29B66883ED84A66515BCD21D0B8AF1A0F76CD09D1C8469B1136BBC33C06D5C34CA8CD5734C5DC447E3EA8F001401E5751452D97C2ED5C432BDC650A222A1F3F4F4E6F676D567175E188FFA60C39BAE0BDF60706D8BB818BA915D628B2A63FDF09B74B4612EC5964157A9CDFF2E9554FCCBF9238E4D0F9,2811d48af726fcec43573ab990c9282714c07e9c5ea59f5763dcd0480bb45f6d
12,baseline,256,318,B6F09CA7AB54AFD03D111DCD121596D6B6278EFB9DA145BC66424E66F3AA93E7DCEB594FDA98EA1EFF1A6CB2B996A5776A118955D26B8EFAACA509758F7A903AA23632D959165842E70F8A67B07E48D3AF10E63F9E810E247D99BAF4058113D7C622177A042D6E538C27194035778D3A5AEFF4EAEC7D6F243B4362CDF1B0FBC608489552D143C18298814792FED460F0FB734B56F30F76910756C76C2A455847251AA289F9A7A72B9526821EC37AA54439177962C486715FB7F35D03F3B8B7693B2AD3CD58A68FBAFB4271CCCF2110D5CDBC0673E01367A537FCC7505D01521615553686B09371C1614258D8FC95E1BF9233060D808F0091C8D279AD42A6E425,62452737f10b70dc15441bfeebefb0da72ed9c6ef0287fbd2b8c2e62d742f08c
13,baseline,256,218,ACFA056EBB633E2916B73EA96A0550EBE390DF6DD89928FD01AA1DCD0E6E1034B273056A2A4853363F0C7D47F9374020632679197669828B691AA1C3BB2DC3D378B4DC8DC8AB5132AD8175ACA4C4893D11533CAA5DCD29BF841221792311BE72BC5DF3EC85A2487066F82F96CEC5C9609D73D2E77F939635415C1B449C38830EDED8E1F4ACF9E0BC982FCA5799DBDF3E81E0AEE434802E2E8A1956EE9AB6E5F40810C258178A2800031A64C0B916E606D65686D955DB0EBBE2F2813C40E213E1E137C8E363438D3F5ACF2C45184309850DF89584927A7715EAAB3DAE5ECA9821E0AAD9C9C872F9F91CA9CDAEAB3189EC57901C1896597E267F99ED2AB40EC82F,5b562bb18f5b6141e288b5b43532db51c7e04ced89b89c41dd1702fb1b686210
14,baseline,256,757,DFB357B0B5A5ADC189962B00E032D99CD800A598A147C23785A0704BF99BED5B80F3BDF7118634FCE23BD1C50628D51BB6E57BD96024CF5944D5230A1B0FA646C98B1F5B201DF20445CBEDB1BA9E1D6D8CFB0A594C36A3E7F9FE2B0D206DB7A1EE8B5ED43E4A1C2C573AF1233D7230B197C22D7AB1F17DC7780203D4A2EDDA6AA066DBAAA967D8E7F4D6E44960DF2E86AE45131C6DB5241C9681E69B7A3699B9A52F80788E74F030C43F71219DE1C646490C1266B2FEA3D4598D100B0DF6D1A94FD46BD4AA84ED9287CC9A4B44F7D51D0E782ED7E2568BBCCEDDBD8916E609A20FCD79D308181A1595B335351CBDF7854E411A3335A5D59519F929859D2F96F5,05c5c36cb60e5a8fe1102d6b9d5ae013cbe766d84e3e8d86fee4687cae6e0c8c
15,baseline,256,262,A7160D906BE62E4E0E0FD6011ED91738B5B8A27BF1498F81B395FE635EB92F08EFE4E15615B5772E5FE8029E2D1C452597F25A09D2DAA024AF68A9C352811A4CB634585BC84C8ACDABA04FB27888B5C48DB74800D47F0A9885A911223814B2DE92F33E9F80ABC05884477F54904AB0FC2E27B42754E394B14A07C0226403C4C8078DE59AB01F6FAC96AFDB5813502796C394BFBF03BCB3375E4F9A34D4614C565E959A1F4B3C59A386A245C0F68A6346A850E92100D4504B87E6A4C276416C22998B674F7CDD7C09901351F5C4F1477BB247A44FD5A3FC67FDEC47C7BEBEBA738E96DF11B5F26275F9850D5F73FE193658C3D51BDBCEC8A3708E1CC25016119F,58abbcc5a19c9d5242ec8cbfea57164b9d536a9b081beb99e29ccfc021a29910
16,baseline,256,576,A78CF01B91967D224285545C2C4507EDFBC796CE3766887C67B0B61FB8800340CE8CCD93CBF517B57F9E0084945FE73EAD51F36925F8C1FB7AE52E9873761244891E1D196ADF561AB47CFE9EE2953F2489367E78F052DA695DA3EF7CF29EA2C023DCA21910A5CCEAF98DF0F6A13F89761E9F8324643ED113285A8D7FFB52355008CC915CAF4593540665A824878F58AF67F78151518BA47AB63DF9D0CFBE17DAEA8AAF4CE67F3206AB9D667EA68A79FB5FCC9C7E62AAC6F8F275188043A6CBE8F66E6CB9C72074F40F615D6EBF97E6E7105467E1BD74B14BE02225383B9C8BB743D70B3C273E3F8DAB7162B14931BB0841082F157466800C68905A858315AA7B,f9d44ce4aa909464ac00af0e4f04f5c64989c12eabadde35a2da7673a4cea3a7
17,baseline,256,790,B854639D6E5CBCEC1742105499B3190EEF3E95FBAA32071270D88035DD487FBBC7FC3F6C70108CD0CAA293E1069F765DE1119827F33511F75151DB9A53CD4DF482A1C6ACD10D69214F09B82B010EA342AB2E55CF0C83E4F4F057C82FD9341ABAE8864B725A825A5709F2162EB06EB38B5ACBECB56B71AE710A9CB5925C7582B5757BED14D023D7EA37658EA2D64200CFFC211B3DC1C1701E6210283F740FB86145EC7B0C5D6EF3868BD4F0561DE1A6553F2B50437E65AF5280053A967138620248D94AEF95812CF61460A62A11B9F6D9F05C4DF6967D9CF25958A0970E2B771B9CC6935A56B4AF8DE2D9EB57AC4CAC4981B0D8ECBD468DF98B14BCE0CF9C88B9,3ed6a53a33a0e0e958ee5e2b2b8ab21f1c6b0d50cd5a7f070184bfc6d813d371
18,baseline,256,730,B2F0B3672997C8079A698D6FCADF381BC53657FD6F18C06CFAB487DA93FFC8EA7EFC314931CF59E8FFC88C7F82E8B5F7FF9092F76DB01E574C92C74C8422610C9C809DF72F12C2E659440B68ADE1B32AD9EB15FDC3E827B4B9CE2B53EBC40BC777103AEFEFF9D25B1433A3CA3E3EFC1DFB74B5FDE2B078DB3777AF4D0165078E57D188E064549C010F7610FAC83122D30A79A7C961C6AACF33AB4E0B7ECC97CD992FAD3E4264F470BD621AED95163A9404DFE78E85C8AB627208661AAC3A15C965948EC820E17C764759D78C69B4F6B1EF89F804F047865F57FF2ADA1C7E0F4F41122C56B2373E04D2F8E8D7BB546CFD4665186FFA13B485C4019E4A798C1223,46ba574c0ef607e354b027744f6b5e1f40114f6f5f00b96b15a55221bde46344
19,baseline,256,626,F0CCACA5C9B1C78813911C20A6098B4B2290F188F134416918D861CBDB480BA26D7F144116040853D90FBFF55784496F3BCDCE596E20AD910AC2B98C5EF4D146AEAA31776C12093675D1AF3B0BB8C9C2BA686FAC698EBF1E2F04CBF80BCC4A3FF28041CBE761C987EC0B73D837BFEE77BEF37751F90A22ABF6C62AAE52A0069EA0C50BEE645896AAC809FADFEAA4D8E3D70B6EB2D434325D81DFEE377F6E676C766AECE059FAF8B62BD23396849B09DEF7663A0AC95C589A0C5F0CE133270AD162FF9D37C9CD08B5EBBBEAB7062FDD08FAAE64DED651A2F824FF96AB6D901547E44AB909B944C4399F77FF5160315CE575BA47A5ED5ACEE3096B818FC8F02D11,951d2d50130e44aa056949e1b71cbe5f3a7efd1ceeba46d9a125037dfb19e44a
20,baseline,256,532,A8E4D970A4121D209BC4D4AF9CECABC993D0946FAD7E383E8BFCF3D652E6F67A1618EB11966CAEF20D9B4C042593B186D3454752E3CC35674DD7AE081481EA23A02BBD0EDCD29C938DD181CDC26ADF195FC8019048B062CCA455129030B6388E63392FCB84560B8725BD6A90D7E17197494013D7834D25D54527E989491DF453DE46500E4868581F2FBDBCD562231E0CCEBD7428030BDF0AA26F82DBA65EEB4690E14C8E9CF6947F443CA2E85712172252C50392B04F4810EF1317666F13ED3B2CD8DC6D30A46C361A9CD39B0E710D9513B10C91320400F789A495A386BA906A40C4C0A13990658D471898B4479AE8FA99FA4E6312300C40AC53291041D93E19,0abfa7bd40a8f898c91327f05247e86ce5a6b39ce0065ac7d73bb4a40f8261f4
